ID;Prov;18-Mar;19-Mar;20-Mar;21-Mar;22-Mar;23-Mar;24-Mar;25-Mar;26-Mar;27-Mar;28-Mar;29-Mar;30-Mar;31-Mar;01-Apr;02-Apr;03-Apr;04-Apr;05-Apr;06-Apr;07-Apr;08-Apr;09-Apr;10-Apr;11-Apr;12-Apr;13-Apr;14-Apr;15-Apr;16-Apr;17-Apr;18-Apr;19-Apr;20-Apr;21-Apr;22-Apr;23-Apr;24-Apr;25-Apr;26-Apr;27-Apr;28-Apr;29-Apr;30-Apr;01-May;02-May;03-May;04-May;05-May;06-May;07-May;08-May;09-May;10-May;11-May;12-May;13-May;14-May;15-May;16-May;17-May;18-May;19-May;20-May;21-May;22-May;23-May;24-May;25-May;26-May;27-May;28-May;29-May;30-May;31-May;01-Jun;02-Jun;03-Jun;04-Jun;05-Jun;06-Jun;07-Jun;08-Jun;09-Jun;10-Jun;11-Jun;12-Jun;13-Jun;14-Jun;15-Jun;16-Jun;17-Jun;18-Jun;19-Jun;pop100000;
1;Aceh;0;0;0;0;0;0;0;0;1;4;4;5;5;5;5;5;5;5;5;5;5;6;6;5;5;5;5;5;5;5;5;6;7;7;7;7;7;8;9;9;9;9;9;10;11;11;12;12;12;17;17;17;17;17;17;17;17;17;17;18;18;18;18;18;18;19;19;19;19;19;19;20;20;20;20;20;20;20;20;20;20;20;20;20;22;22;22;22;27;27;27;37;38;38;54.599;
2;Bali;1;1;4;3;3;6;6;9;9;9;9;10;19;19;25;25;27;32;35;43;43;49;63;75;79;81;86;92;98;113;124;131;135;140;150;152;167;177;183;186;194;215;215;222;235;237;262;271;277;277;287;300;306;311;314;328;332;337;343;346;348;359;363;371;374;380;388;394;396;407;415;420;443;455;465;482;487;490;510;524;557;582;594;608;640;659;695;723;741;760;782;829;895;976;43.808;
3;Bangka Belitung;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;2;2;2;2;2;2;3;3;4;4;4;4;5;6;6;6;7;7;8;8;9;9;9;10;10;10;10;10;19;19;20;20;28;28;28;28;28;29;29;29;29;29;29;29;29;29;29;35;36;36;39;39;39;39;42;42;42;45;46;46;50;62;72;81;98;102;102;121;123;126;132;136;144;144;145;147;147;147;15.176;
4;Banten;17;27;37;43;47;56;65;67;67;84;103;106;128;142;152;164;170;173;177;187;194;212;218;243;279;281;285;280;281;297;311;321;324;341;341;337;337;359;370;370;382;388;388;404;418;427;432;446;458;487;495;505;523;533;541;559;580;593;622;626;650;677;698;699;753;768;768;789;789;807;817;831;845;858;861;867;883;954;965;989;1025;1035;1047;1061;1096;1121;1157;1231;1240;1243;1277;1309;1327;1331;131.605;
5;Bengkulu;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;2;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;8;8;8;8;8;8;8;8;12;12;12;12;12;12;12;14;14;14;37;37;37;40;40;42;53;56;65;66;67;67;69;69;69;69;69;69;69;71;72;86;91;91;92;92;92;92;92;92;92;92;92;92;95;98;101;101;104;105;105;107;20.198;
6;Gorontalo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;4;4;4;4;4;7;7;7;12;14;15;14;15;15;15;15;15;15;15;15;15;19;19;19;19;19;19;19;21;22;23;24;28;28;28;44;47;49;58;58;58;60;65;68;69;94;94;108;118;121;121;126;134;134;139;145;149;181;185;185;208;214;214;214;220;12.196;
7;West Papua;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;5;5;5;7;7;7;8;13;15;16;16;16;37;37;37;42;43;43;43;49;53;53;53;53;70;70;70;70;88;88;102;105;105;105;106;110;119;129;130;130;132;132;152;158;162;168;168;172;172;173;175;178;179;179;183;191;195;200;205;208;209;212;214;219;222;9.818;
8;Jakarta;158;210;215;267;307;353;424;463;515;598;627;675;698;747;808;897;971;1028;1124;1232;1369;1470;1706;1753;1948;2044;2186;2335;2474;2670;2815;2924;3032;3097;3260;3383;3517;3599;3684;3798;3869;4002;4092;4175;4317;4397;4463;4539;4687;4770;4855;4955;5056;5190;5276;5375;5554;5688;5774;5881;6010;6059;6155;6236;6301;6400;6515;6634;6709;6798;6895;7001;7128;7229;7348;7485;7541;7623;7690;7766;7870;8033;8121;8355;8503;8650;8740;8861;8978;9120;9222;9349;9516;9655;106.45;
9;Jambi;0;0;0;0;0;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;4;4;4;5;6;7;8;8;8;8;13;13;14;18;21;32;32;32;32;32;32;32;38;38;43;47;47;47;62;64;65;65;65;66;69;79;80;81;84;89;89;91;91;95;97;97;97;97;97;97;97;97;97;97;99;101;103;103;103;103;105;105;106;108;108;108;108;109;109;112;36.779;
10;West Java;24;26;41;55;59;59;60;73;78;98;119;149;180;198;220;223;225;247;252;263;343;365;376;388;421;450;540;530;559;570;632;641;696;747;756;762;784;862;907;912;951;969;1009;1012;1012;1043;1054;1252;1300;1320;1381;1404;1437;1437;1493;1545;1556;1565;1596;1618;1652;1677;1700;1876;1962;2002;2045;2091;2113;2130;2157;2181;2211;2231;2260;2294;2314;2319;2354;2366;2376;2404;2424;2448;2506;2551;2572;2587;2604;2623;2662;2703;2758;2805;499.357;
